t,dt,found,px,py,frac_x,frac_y,x_mm,y_mm,vx,vy,valid,roll_cmd,pitch_cmd,applied,arm1_delta,arm2_delta,arm3_delta
2.6076,0.0508,0,0,0,nan,nan,-31.04,-34.92,-54.8,-34.2,1,-0.1396,0.1396,1,-0.4833,0.2682,0.1035
2.6603,0.0527,0,0,0,nan,nan,-33.93,-36.72,-54.8,-34.2,1,-0.1396,0.1396,1,-0.4833,0.2682,0.1035
2.7056,0.0453,0,0,0,nan,nan,-36.41,-38.27,-54.8,-34.2,1,-0.1396,0.1396,1,-0.4833,0.2682,0.1035
2.7491,0.0435,0,0,0,nan,nan,-38.80,-39.75,-54.8,-34.2,1,-0.1396,0.1396,1,-0.4833,0.2682,0.1035
2.7915,0.0424,0,0,0,nan,nan,-41.12,-41.20,-54.8,-34.2,0,0.0000,0.0000,0,-0.4833,0.2682,0.1035
2.8286,0.0371,0,0,0,nan,nan,-43.16,-42.47,-54.8,-34.2,0,0.0000,0.0000,0,-0.4833,0.2682,0.1035
2.8652,0.0366,0,0,0,nan,nan,-45.17,-43.72,-54.8,-34.2,0,0.0000,0.0000,0,-0.4833,0.2682,0.1035
2.9027,0.0374,1,139,450,-0.5656,0.8750,-25.36,-29.41,22.6,21.0,1,-0.1029,0.0888,1,-0.2985,0.2003,0.0519
2.9464,0.0438,0,0,0,nan,nan,-24.37,-28.49,22.6,21.0,1,-0.0829,0.0672,1,-0.2244,0.1627,0.0344
2.9910,0.0446,1,167,460,-0.4781,0.9167,-21.46,-30.73,46.3,-18.5,1,-0.1396,0.0230,1,-0.2008,0.2658,-0.1076
3.0346,0.0436,1,189,446,-0.4094,0.8583,-18.51,-29.24,65.6,28.4,1,-0.0751,0.0104,1,-0.0999,0.1478,-0.0602
3.0786,0.0441,1,216,433,-0.3250,0.8042,-14.71,-27.16,83.7,45.1,1,-0.0573,-0.0173,1,-0.0284,0.1139,-0.0933
3.1243,0.0457,1,220,421,-0.3125,0.7542,-13.56,-25.31,30.5,41.0,1,-0.0561,0.0273,1,-0.1111,0.1116,-0.0092
3.1677,0.0433,1,234,423,-0.2687,0.7625,-12.07,-25.30,33.9,5.4,1,-0.0885,0.0147,1,-0.1233,0.1728,-0.0667
3.2134,0.0457,1,278,415,-0.1313,0.7292,-6.54,-24.58,113.3,14.9,1,-0.0734,-0.0739,1,0.0556,0.1449,-0.2270
3.2576,0.0443,1,326,396,0.0187,0.6500,0.49,-22.15,153.7,50.4,1,-0.0336,-0.1288,1,0.1849,0.0683,-0.2979
3.3020,0.0443,1,459,395,0.4344,0.6458,17.66,-21.44,361.1,19.9,1,-0.0622,-0.1396,1,0.1761,0.1244,-0.3634
3.3464,0.0444,1,636,378,0.9875,0.5750,42.68,-19.50,541.2,40.9,1,-0.0334,-0.1396,1,0.2024,0.0681,-0.3232
3.3911,0.0448,0,0,0,nan,nan,66.90,-17.67,541.2,40.9,1,-0.0291,-0.1396,1,0.2063,0.0595,-0.3173
3.4350,0.0439,0,0,0,nan,nan,90.64,-15.88,541.2,40.9,1,-0.0228,-0.1396,1,0.2120,0.0468,-0.3088
3.4790,0.0440,1,635,421,0.9844,0.7542,45.24,-25.16,-109.7,-63.3,1,-0.1396,0.1396,1,-0.0519,0.2682,-0.0449
3.5234,0.0445,1,604,435,0.8875,0.8125,39.84,-27.39,-120.6,-51.1,1,-0.1360,-0.0423,1,-0.0665,0.2596,-0.2378
3.5665,0.0431,1,548,417,0.7125,0.7375,32.32,-25.49,-167.3,31.4,1,-0.0538,0.0265,1,-0.1071,0.1073,-0.0082
3.6118,0.0452,1,476,439,0.4875,0.8292,22.26,-27.31,-217.0,-33.4,1,-0.1279,0.1000,1,-0.3604,0.2460,0.0467
3.6560,0.0442,1,458,453,0.4313,0.8875,18.33,-29.67,-103.4,-51.0,1,-0.1396,0.0069,1,-0.1672,0.2657,-0.1395
3.6994,0.0434,1,447,461,0.3969,0.9208,17.18,-31.08,-36.4,-35.0,1,-0.1349,-0.0388,1,-0.0719,0.2575,-0.2287
3.7444,0.0450,0,0,0,nan,nan,15.54,-32.66,-36.4,-35.0,1,-0.1396,-0.0252,1,-0.1032,0.2658,-0.2055
3.7881,0.0437,0,0,0,nan,nan,13.95,-34.19,-36.4,-35.0,1,-0.1396,-0.0197,1,-0.1141,0.2658,-0.1938
3.8314,0.0433,0,0,0,nan,nan,12.37,-35.70,-36.4,-35.0,1,-0.1396,-0.0142,1,-0.1250,0.2658,-0.1823
3.8742,0.0427,0,0,0,nan,nan,10.81,-37.20,-36.4,-35.0,1,-0.1396,-0.0087,1,-0.1358,0.2657,-0.1710
3.9184,0.0443,0,0,0,nan,nan,9.20,-38.75,-36.4,-35.0,1,-0.1396,-0.0031,1,-0.1471,0.2657,-0.1595
3.9616,0.0432,0,0,0,nan,nan,7.63,-40.26,-36.4,-35.0,0,0.0000,0.0000,0,-0.1471,0.2657,-0.1595
4.0018,0.0401,0,0,0,nan,nan,6.17,-41.66,-36.4,-35.0,0,0.0000,0.0000,0,-0.1471,0.2657,-0.1595
4.0410,0.0392,0,0,0,nan,nan,4.74,-43.03,-36.4,-35.0,0,0.0000,0.0000,0,-0.1471,0.2657,-0.1595
4.0789,0.0379,0,0,0,nan,nan,3.36,-44.36,-36.4,-35.0,0,0.0000,0.0000,0,-0.1471,0.2657,-0.1595
4.1177,0.0388,0,0,0,nan,nan,1.94,-45.72,-36.4,-35.0,0,0.0000,0.0000,0,-0.1471,0.2657,-0.1595
4.1549,0.0372,0,0,0,nan,nan,0.59,-47.02,-36.4,-35.0,0,0.0000,0.0000,0,-0.1471,0.2657,-0.1595
4.1923,0.0373,0,0,0,nan,nan,-0.77,-48.33,-36.4,-35.0,0,0.0000,0.0000,0,-0.1471,0.2657,-0.1595
4.2294,0.0371,0,0,0,nan,nan,-2.12,-49.63,-36.4,-35.0,0,0.0000,0.0000,0,-0.1471,0.2657,-0.1595
4.2666,0.0372,0,0,0,nan,nan,-3.48,-50.93,-36.4,-35.0,0,0.0000,0.0000,0,-0.1471,0.2657,-0.1595
4.3040,0.0374,0,0,0,nan,nan,-4.84,-52.23,-36.4,-35.0,0,0.0000,0.0000,0,-0.1471,0.2657,-0.1595
4.3426,0.0386,0,0,0,nan,nan,-6.25,-53.58,-36.4,-35.0,0,0.0000,0.0000,0,-0.1471,0.2657,-0.1595
4.3791,0.0366,0,0,0,nan,nan,-7.58,-54.86,-36.4,-35.0,0,0.0000,0.0000,0,-0.1471,0.2657,-0.1595
4.4169,0.0378,0,0,0,nan,nan,-8.95,-56.19,-36.4,-35.0,0,0.0000,0.0000,0,-0.1471,0.2657,-0.1595
4.4551,0.0382,0,0,0,nan,nan,-10.34,-57.52,-36.4,-35.0,0,0.0000,0.0000,0,-0.1471,0.2657,-0.1595
4.4932,0.0381,0,0,0,nan,nan,-11.73,-58.86,-36.4,-35.0,0,0.0000,0.0000,0,-0.1471,0.2657,-0.1595
4.5303,0.0370,0,0,0,nan,nan,-13.08,-60.15,-36.4,-35.0,0,0.0000,0.0000,0,-0.1471,0.2657,-0.1595
4.5684,0.0381,0,0,0,nan,nan,-14.47,-61.48,-36.4,-35.0,0,0.0000,0.0000,0,-0.1471,0.2657,-0.1595
4.6061,0.0378,0,0,0,nan,nan,-15.84,-62.80,-36.4,-35.0,0,0.0000,0.0000,0,-0.1471,0.2657,-0.1595
4.6444,0.0383,0,0,0,nan,nan,-17.24,-64.14,-36.4,-35.0,0,0.0000,0.0000,0,-0.1471,0.2657,-0.1595
4.6823,0.0379,0,0,0,nan,nan,-18.62,-65.47,-36.4,-35.0,0,0.0000,0.0000,0,-0.1471,0.2657,-0.1595
4.7197,0.0374,0,0,0,nan,nan,-19.98,-66.78,-36.4,-35.0,0,0.0000,0.0000,0,-0.1471,0.2657,-0.1595
4.7569,0.0372,0,0,0,nan,nan,-21.33,-68.08,-36.4,-35.0,0,0.0000,0.0000,0,-0.1471,0.2657,-0.1595
4.7938,0.0369,1,34,436,-0.8938,0.8167,-40.04,-27.44,-59.1,19.9,1,-0.0960,0.1396,1,-0.3685,0.1886,0.0618
4.8372,0.0434,1,39,405,-0.8781,0.6875,-39.48,-23.25,12.3,96.0,1,-0.0041,0.1279,1,-0.2575,0.0085,0.2103
4.8825,0.0453,1,53,347,-0.8344,0.4458,-37.57,-15.46,38.4,162.2,1,0.0832,0.0978,1,-0.0925,-0.1851,0.2423
4.9266,0.0441,1,66,310,-0.7937,0.2917,-35.61,-9.58,43.8,136.9,1,0.0733,0.0890,1,-0.0865,-0.1612,0.2194
4.9710,0.0445,1,78,260,-0.7562,0.0833,-33.85,-2.90,40.0,148.7,1,0.1100,0.0868,1,-0.0427,-0.2511,0.2495
5.0174,0.0464,1,90,214,-0.7188,-0.1083,-32.17,3.69,36.4,142.6,1,0.1266,0.0837,1,-0.0195,-0.2942,0.2597
5.0617,0.0443,1,103,169,-0.6781,-0.2958,-30.41,9.95,39.5,141.5,1,0.1396,0.0745,1,0.0106,-0.3293,0.2574
5.1108,0.0491,1,113,121,-0.6469,-0.4958,-28.92,16.69,30.7,137.4,1,0.1396,0.0769,1,0.0063,-0.3294,0.2611
5.1694,0.0585,1,118,73,-0.6312,-0.6958,-28.18,23.50,10.8,114.2,1,0.1396,0.0885,1,-0.0147,-0.3297,0.2790
5.2241,0.0547,1,133,40,-0.5844,-0.8333,-26.32,28.17,35.0,84.2,1,0.1396,0.0649,1,0.0277,-0.3290,0.2425
5.2773,0.0532,0,0,0,nan,nan,-24.46,32.65,35.0,84.2,1,0.1396,0.0576,1,0.0406,-0.3289,0.2310
5.3380,0.0607,0,0,0,nan,nan,-22.34,37.76,35.0,84.2,1,0.1396,0.0502,1,0.0535,-0.3287,0.2193
5.3965,0.0586,0,0,0,nan,nan,-20.29,42.68,35.0,84.2,1,0.1396,0.0430,1,0.0659,-0.3286,0.2080
5.4398,0.0433,0,0,0,nan,nan,-18.78,46.32,35.0,84.2,1,0.1396,0.0377,1,0.0750,-0.3285,0.1996
5.4833,0.0435,0,0,0,nan,nan,-17.25,49.98,35.0,84.2,0,0.0000,0.0000,0,0.0750,-0.3285,0.1996
5.5214,0.0381,0,0,0,nan,nan,-15.92,53.19,35.0,84.2,0,0.0000,0.0000,0,0.0750,-0.3285,0.1996
5.5583,0.0369,0,0,0,nan,nan,-14.63,56.30,35.0,84.2,0,0.0000,0.0000,0,0.0750,-0.3285,0.1996
5.5951,0.0368,0,0,0,nan,nan,-13.34,59.40,35.0,84.2,0,0.0000,0.0000,0,0.0750,-0.3285,0.1996
5.6326,0.0375,0,0,0,nan,nan,-12.03,62.55,35.0,84.2,0,0.0000,0.0000,0,0.0750,-0.3285,0.1996
5.6698,0.0372,0,0,0,nan,nan,-10.73,65.68,35.0,84.2,0,0.0000,0.0000,0,0.0750,-0.3285,0.1996
5.7083,0.0384,0,0,0,nan,nan,-9.39,68.92,35.0,84.2,0,0.0000,0.0000,0,0.0750,-0.3285,0.1996
5.7489,0.0407,0,0,0,nan,nan,-7.97,72.34,35.0,84.2,0,0.0000,0.0000,0,0.0750,-0.3285,0.1996
5.7964,0.0475,0,0,0,nan,nan,-6.30,76.34,35.0,84.2,0,0.0000,0.0000,0,0.0750,-0.3285,0.1996
5.8419,0.0455,0,0,0,nan,nan,-4.71,80.17,35.0,84.2,0,0.0000,0.0000,0,0.0750,-0.3285,0.1996
5.8887,0.0468,0,0,0,nan,nan,-3.08,84.11,35.0,84.2,0,0.0000,0.0000,0,0.0750,-0.3285,0.1996
5.9292,0.0404,0,0,0,nan,nan,-1.66,87.51,35.0,84.2,0,0.0000,0.0000,0,0.0750,-0.3285,0.1996
5.9659,0.0367,0,0,0,nan,nan,-0.38,90.60,35.0,84.2,0,0.0000,0.0000,0,0.0750,-0.3285,0.1996
6.0061,0.0402,0,0,0,nan,nan,1.03,93.99,35.0,84.2,0,0.0000,0.0000,0,0.0750,-0.3285,0.1996
6.0443,0.0382,0,0,0,nan,nan,2.36,97.20,35.0,84.2,0,0.0000,0.0000,0,0.0750,-0.3285,0.1996
6.0821,0.0378,0,0,0,nan,nan,3.68,100.38,35.0,84.2,0,0.0000,0.0000,0,0.0750,-0.3285,0.1996
6.1190,0.0369,0,0,0,nan,nan,4.97,103.49,35.0,84.2,0,0.0000,0.0000,0,0.0750,-0.3285,0.1996
6.1554,0.0364,0,0,0,nan,nan,6.25,106.54,35.0,84.2,0,0.0000,0.0000,0,0.0750,-0.3285,0.1996
6.1930,0.0376,0,0,0,nan,nan,7.56,109.71,35.0,84.2,0,0.0000,0.0000,0,0.0750,-0.3285,0.1996
6.2299,0.0369,0,0,0,nan,nan,8.85,112.81,35.0,84.2,0,0.0000,0.0000,0,0.0750,-0.3285,0.1996
6.2668,0.0370,0,0,0,nan,nan,10.14,115.92,35.0,84.2,0,0.0000,0.0000,0,0.0750,-0.3285,0.1996
6.3045,0.0376,0,0,0,nan,nan,11.46,119.09,35.0,84.2,0,0.0000,0.0000,0,0.0750,-0.3285,0.1996
6.3432,0.0387,0,0,0,nan,nan,12.81,122.35,35.0,84.2,0,0.0000,0.0000,0,0.0750,-0.3285,0.1996
6.3810,0.0378,0,0,0,nan,nan,14.13,125.53,35.0,84.2,0,0.0000,0.0000,0,0.0750,-0.3285,0.1996
6.4211,0.0401,0,0,0,nan,nan,15.54,128.91,35.0,84.2,0,0.0000,0.0000,0,0.0750,-0.3285,0.1996
